EEGFp1_REF,EEGFp2_REF,EEGF3_REF,EEGF4_REF,EEGC3_REF,EEGC4_REF,EEGP3_REF,EEGP4_REF,EEGO1_REF,EEGO2_REF,EEGF7_REF,EEGF8_REF,EEGT3_REF,EEGT4_REF,EEGT5_REF,EEGT6_REF,EEGCz_REF
-3.96378,7.02254,-13.119,-21.0536,-17.3915,-42.2633,-20.5958,-15.8656,8.39583,-6.86295,-12.8139,-7.77848,-11.288,-13.2716,3.66561,-12.9665,-29.2934
-2.13273,5.95442,-8.54142,-24.5631,-8.23624,-36.465,-10.5251,-6.40519,14.0416,-1.2172,-8.99918,-9.15177,-3.20084,-15.2553,8.85359,-16.1708,-25.6312
-0.301676,5.34407,-8.694,-25.0209,-6.40519,-33.2606,-4.72672,1.07161,18.314,5.49666,-8.54142,-10.8302,7.4803,-15.1027,16.3304,-6.71036,-25.3261
-0.301676,6.2596,-10.5251,-23.0373,-11.1354,-33.4132,-7.32071,-0.606851,12.5157,2.29232,-6.55777,-10.0673,11.1424,-14.6449,16.0252,-7.16813,-25.0209
-1.67497,6.41219,-9.15177,-21.2062,-14.0346,-34.3287,-15.5605,-10.2199,-5.18448,-14.7975,-4.57413,-7.4733,5.49666,-16.3234,4.73372,-27.6149,-22.2743
-1.82755,5.34407,-6.10001,-15.713,-13.4242,-30.2089,-21.0536,-15.713,-18.6122,-25.7838,-7.32071,-2.13273,-2.4379,-14.1872,-1.98014,-35.702,-18.1544
-0.759439,5.64925,-7.62589,-7.62589,-15.4079,-23.9528,-23.6476,-16.0182,-21.8166,-26.5468,-14.6449,3.66561,-9.45694,-7.32071,-2.13273,-28.9882,-18.7648
-1.82755,5.0389,-11.5932,-4.26896,-21.3588,-23.495,-27.1571,-18.307,-26.2416,-32.9555,-23.0373,4.73372,-17.0863,-4.72672,-9.45694,-33.108,-24.5631
-5.48966,2.4449,-14.7975,-5.48966,-27.6149,-24.8683,-32.3451,-20.2907,-34.1762,-43.0263,-28.2252,2.90267,-24.7157,-6.40519,-22.2743,-43.1788,-28.5304
-8.23624,3.05526,-17.6967,-5.79484,-31.7348,-23.1898,-37.2279,-18.9174,-37.5331,-45.1625,-27.6149,2.29232,-28.2252,-5.18448,-28.3778,-39.2116,-28.683
-8.23624,4.88631,-16.7812,-7.77848,-32.1925,-26.2416,-38.7538,-20.1381,-36.1598,-39.6693,-27.0045,-0.759439,-28.683,-3.65861,-27.0045,-24.7157,-29.7511
-7.77848,2.13973,-13.882,-13.882,-28.683,-35.8546,-35.8546,-25.0209,-34.3287,-34.6339,-31.277,-8.08365,-32.1925,-9.76212,-27.9201,-18.1544,-32.3451
-9.30435,-1.82755,-14.9501,-18.4596,-26.2416,-42.1107,-33.871,-29.1408,-34.4813,-36.465,-36.0072,-14.6449,-36.465,-18.7648,-34.1762,-25.6312,-33.871
-10.6776,-2.89567,-21.3588,-18.7648,-31.8873,-42.7211,-39.8219,-35.0917,-39.3641,-44.7047,-37.2279,-16.476,-37.0753,-22.1217,-38.296,-36.1598,-35.3969
-8.694,-1.36979,-26.089,-18.307,-37.6857,-41.5004,-46.6884,-39.6693,-42.2633,-48.3668,-34.0236,-12.3561,-33.5658,-20.4433,-34.3287,-41.9581,-36.9227
-7.01554,0.308676,-25.9364,-19.2226,-37.2279,-42.4159,-45.6202,-38.1434,-35.702,-41.8055,-29.5985,-9.45694,-26.8519,-20.2907,-25.6312,-42.1107,-37.6857
-9.76212,0.919027,-26.8519,-22.7321,-39.059,-51.266,-47.2987,-40.5848,-32.1925,-37.9909,-32.4977,-15.4079,-25.9364,-26.3942,-24.5631,-41.1952,-41.3478
-12.8139,0.766439,-29.2934,-27.3097,-45.6202,-61.7945,-53.2496,-48.9772,-39.059,-46.078,-38.296,-22.2743,-32.3451,-33.2606,-31.5822,-50.5031,-48.3668
-12.2035,0.919027,-30.9718,-27.7675,-44.8573,-59.9635,-49.4349,-48.8246,-39.6693,-49.8927,-37.3805,-19.6803,-31.8873,-30.3615,-29.7511,-56.9117,-51.1134
-11.7458,0.919027,-29.4459,-23.495,-36.6176,-50.5031,-39.5167,-42.5685,-35.8546,-47.7565,-34.9391,-11.8983,-28.0726,-21.3588,-25.6312,-52.9445,-46.078
-13.2716,-0.149088,-27.0045,-21.3588,-37.6857,-50.5031,-42.2633,-46.6884,-46.3832,-57.6747,-39.5167,-8.54142,-36.0072,-19.3751,-37.9909,-58.8954,-46.5358
-15.4079,1.07161,-28.9882,-20.2907,-47.7565,-54.9281,-54.7755,-55.8436,-61.4894,-70.9498,-47.6039,-5.79484,-48.3668,-21.5114,-54.9281,-68.8136,-53.7074
-17.6967,5.0389,-31.4296,-13.4242,-48.3668,-47.7565,-56.3014,-54.1652,-65.9144,-75.68,-51.4186,1.37679,-52.3341,-17.5441,-61.9471,-69.5765,-49.1298
-17.5441,7.4803,-32.3451,-7.77848,-46.5358,-39.8219,-55.2333,-51.8763,-70.6446,-81.631,-52.4867,4.88631,-55.8436,-12.5087,-70.3395,-72.6283,-41.8055
-13.5768,6.56477,-34.4813,-14.3398,-54.7755,-47.1461,-64.3885,-60.879,-80.5628,-89.5655,-55.691,-0.149088,-64.0834,-14.9501,-79.1896,-78.7318,-50.0453
-10.3725,4.73372,-31.7348,-22.8847,-55.0807,-55.691,-67.2877,-68.2032,-82.3939,-89.4129,-56.6066,-4.26896,-67.2877,-18.0019,-75.9852,-74.7645,-56.1488
-7.77848,3.36043,-22.8847,-21.2062,-43.9418,-52.3341,-60.2687,-65.7618,-75.5274,-83.0042,-48.9772,-3.96378,-60.5738,-16.1708,-67.1351,-62.8627,-48.5194
-3.81119,0.919027,-16.476,-17.5441,-38.9064,-45.7728,-55.3859,-60.1161,-66.8299,-76.2904,-39.5167,-6.71036,-53.5548,-16.7812,-59.048,-55.691,-41.0426
-0.912027,-1.2172,-15.4079,-16.7812,-37.8383,-38.9064,-49.1298,-51.7238,-54.1652,-65.4567,-32.0399,-9.91471,-46.8409,-17.8493,-45.9254,-49.7401,-39.059
0.919027,0.0035,-13.7294,-12.3561,-29.9037,-26.5468,-37.0753,-37.9909,-37.9909,-48.0616,-21.5114,-6.55777,-33.2606,-11.8983,-29.1408,-36.6176,-34.6339
2.13973,2.75008,-9.76212,-4.72672,-23.3424,-14.4923,-29.7511,-27.6149,-30.5141,-37.3805,-15.8656,-2.4379,-22.2743,-7.93106,-23.6476,-32.1925,-26.6994
3.05526,3.20784,-7.77848,-2.13273,-26.3942,-12.3561,-33.2606,-27.3097,-34.0236,-38.7538,-18.6122,-4.72672,-21.5114,-13.882,-28.0726,-40.7374,-23.495
5.80184,0.461263,-6.55777,-6.10001,-28.683,-17.6967,-35.8546,-32.6503,-36.6176,-43.484,-15.713,-11.1354,-20.7484,-22.2743,-24.4105,-49.1298,-25.6312
8.701,-1.82755,-2.89567,-7.93106,-22.7321,-21.8166,-31.8873,-37.9909,-36.465,-49.7401,-5.0319,-14.3398,-14.6449,-27.7675,-15.5605,-58.285,-23.9528
7.93806,-1.52238,0.461263,-3.65861,-18.9174,-22.7321,-31.4296,-43.1788,-41.5004,-58.5902,-1.52238,-10.5251,-11.4406,-28.9882,-19.07,-65.7618,-19.6803
4.58113,-0.759439,-0.606851,-1.98014,-23.6476,-23.3424,-35.702,-45.9254,-47.4513,-64.0834,-7.77848,-5.64225,-14.6449,-23.8002,-28.683,-62.2523,-21.8166
3.66561,-0.149088,-5.33707,-6.10001,-27.4623,-24.258,-36.6176,-43.6366,-45.3151,-61.642,-12.8139,-3.81119,-18.307,-14.9501,-29.2934,-54.4703,-27.6149
4.27596,-0.149088,-6.71036,-8.08365,-24.7157,-23.3424,-32.8029,-38.296,-41.3478,-58.5902,-11.8983,-1.82755,-21.664,-8.54142,-27.9201,-52.4867,-27.7675
3.05526,-2.13273,-5.18448,-5.79484,-24.1054,-22.5795,-32.8029,-32.6503,-41.5004,-53.86,-12.3561,0.919027,-27.4623,-6.40519,-34.7865,-43.7892,-25.1735
0.156088,-3.35343,-4.87931,-7.01554,-28.5304,-26.5468,-36.7702,-27.1571,-37.8383,-40.2797,-16.9337,-0.606851,-29.9037,-5.94742,-38.6012,-25.6312,-28.2252
-1.98014,-3.65861,-6.10001,-11.7458,-29.2934,-32.3451,-36.0072,-22.7321,-28.3778,-28.0726,-20.4433,-4.26896,-25.1735,-6.10001,-29.9037,-21.0536,-32.6503
-1.98014,-3.04826,-7.62589,-10.8302,-24.7157,-31.277,-31.5822,-20.2907,-22.4269,-26.089,-21.9691,-3.04826,-20.7484,-7.01554,-21.0536,-29.1408,-28.683
-1.2172,-0.149088,-7.62589,-5.18448,-22.4269,-22.4269,-27.4623,-15.713,-20.5958,-24.1054,-21.8166,1.07161,-21.9691,-5.48966,-20.2907,-29.4459,-20.4433
-0.454263,2.75008,-8.23624,-2.59049,-23.1898,-14.0346,-23.1898,-9.60953,-16.0182,-17.0863,-16.476,4.27596,-20.5958,-2.4379,-18.0019,-24.7157,-18.307
1.52938,2.4449,-8.54142,-1.36979,-21.0536,-10.2199,-19.07,-7.77848,-11.1354,-13.5768,-9.91471,6.10701,-14.3398,-1.82755,-9.45694,-26.2416,-19.6803
3.66561,0.461263,-5.33707,1.2242,-16.9337,-10.5251,-17.3915,-10.8302,-13.119,-16.6286,-10.6776,6.71736,-11.5932,-4.87931,-4.57413,-29.9037,-17.6967
4.27596,-0.149088,0.0035,3.66561,-12.8139,-12.0509,-16.1708,-15.713,-19.2226,-22.4269,-12.9665,3.66561,-11.288,-10.5251,-7.62589,-34.3287,-11.1354
3.81819,0.156088,6.10701,6.86995,-3.96378,-9.15177,-9.15177,-17.8493,-20.2907,-31.1244,-5.64225,-0.149088,-5.79484,-15.1027,-8.99918,-46.9935,-1.52238
4.27596,1.68197,9.92171,11.6002,4.42855,-1.98014,-1.06461,-14.4923,-12.8139,-36.3124,3.36043,0.613851,1.98714,-15.713,-1.82755,-54.6229,3.20784
5.19148,4.12337,9.76912,12.9735,4.88631,1.83455,1.68197,-8.08365,-0.454263,-29.5985,3.81819,3.05526,7.32771,-15.8656,7.63289,-45.1625,0.0035
4.27596,3.81819,7.63289,11.6002,3.20784,2.29232,1.68197,-1.36979,7.4803,-16.9337,-0.606851,3.51302,7.4803,-15.713,10.3795,-32.3451,-0.912027
3.51302,2.29232,6.56477,12.8209,4.42855,5.95442,1.68197,7.4803,8.24324,-6.2526,-2.89567,5.95442,2.4449,-8.38883,5.95442,-21.9691,3.66561
3.81819,1.37679,6.41219,13.4312,2.13973,8.24324,0.156088,16.6356,4.27596,0.156088,-2.28532,10.2269,-4.72672,2.90267,-4.87931,-12.0509,2.29232
3.81819,-0.606851,3.51302,9.46394,-6.2526,4.73372,-5.33707,19.077,-3.96378,-1.67497,-2.28532,12.0579,-10.6776,7.32771,-17.6967,-11.5932,-6.71036
3.05526,-1.67497,1.52938,5.19148,-10.6776,1.37679,-10.8302,14.8045,-12.2035,-5.79484,-3.20084,11.4476,-11.5932,7.63289,-24.5631,-12.9665,-9.60953
2.29232,-1.2172,2.75008,3.81819,-10.2199,-1.82755,-15.2553,8.54842,-18.4596,-5.94742,-3.20084,11.7528,-10.9828,9.92171,-25.7838,-4.42155,-8.38883
1.2242,-1.98014,0.919027,3.20784,-14.6449,-9.30435,-22.5795,0.613851,-22.4269,-5.94742,-4.26896,13.4312,-12.0509,11.1424,-20.5958,0.919027,-13.882
