EEGFp1_REF,EEGFp2_REF,EEGF3_REF,EEGF4_REF,EEGC3_REF,EEGC4_REF,EEGP3_REF,EEGP4_REF,EEGO1_REF,EEGO2_REF,EEGF7_REF,EEGF8_REF,EEGT3_REF,EEGT4_REF,EEGT5_REF,EEGT6_REF,EEGCz_REF
16.3304,29.9107,-51.7238,-64.5411,-70.1869,-74.1542,-72.7809,-106.5028,-110.6226,-145.8704,-88.49741,-76.2904,-54.9281,-108.9442,-91.24399,-115.8106,-57.2169
17.7037,29.3004,-53.5548,-57.6747,-72.3231,-71.7128,-72.0179,-104.6717,-106.1976,-139.3091,-91.85434,-72.7809,-58.1324,-99.7889,-95.97421,-116.1158,-56.7592
17.2459,29.3004,-48.8246,-48.2142,-64.9989,-58.7428,-59.3531,-84.53013,-88.34482,-107.4183,-90.17587,-63.473,-56.454,-87.42929,-92.61728,-106.045,-49.5875
16.7882,32.0469,-45.6202,-47.7565,-59.048,-47.7565,-49.2824,-61.79455,-74.76451,-73.23863,-86.056,-57.0643,-48.0616,-74.30674,-85.44565,-90.17587,-45.7728
18.314,36.9297,-48.8246,-58.4376,-61.4894,-49.2824,-50.3505,-54.31775,-71.56016,-55.69104,-84.37754,-57.0643,-45.6202,-66.67736,-83.00425,-76.29039,-51.266
19.9925,39.3711,-45.0099,-60.7264,-59.048,-48.9772,-49.1298,-52.33411,-65.60924,-46.23059,-82.54648,-54.4703,-50.1979,-55.38586,-80.86802,-63.16784,-50.6556
16.7882,35.8616,-39.5167,-50.8082,-54.6229,-41.5004,-46.6884,-49.58753,-61.03161,-43.48401,-82.08872,-48.8246,-48.2142,-44.8573,-75.22227,-53.09704,-43.1788
14.9571,30.6736,-44.7047,-44.8573,-59.3531,-39.3641,-51.5712,-54.31775,-64.54113,-54.9281,-80.56284,-49.4349,-36.6176,-44.39954,-70.03429,-51.72375,-43.3314
20.4503,31.7418,-50.9608,-45.4677,-65.3041,-44.0944,-57.2169,-64.08336,-69.27135,-71.25499,-75.22227,-50.3505,-32.1925,-45.00989,-67.74547,-56.75915,-48.8246
20.7554,40.7444,-53.2496,-48.5194,-68.3558,-50.3505,-61.7945,-72.93345,-75.06968,-83.30942,-78.88438,-48.2142,-44.247,-51.41858,-73.08604,-63.01525,-54.7755
15.1097,45.1695,-52.7919,-54.7755,-68.9662,-56.1488,-64.0834,-79.7999,-83.00425,-94.29574,-87.58188,-53.097,-57.8273,-72.17052,-83.91977,-70.64464,-58.1324
15.4149,34.4883,-47.1461,-61.7945,-65.1515,-59.8109,-61.4894,-82.24131,-85.14048,-104.0614,-85.14048,-61.9471,-54.4703,-85.14048,-84.8353,-83.91977,-56.3014
21.9761,23.6546,-43.7892,-64.6937,-59.9635,-57.9799,-57.3695,-76.1378,-81.17319,-102.3829,-79.49473,-62.2523,-43.9418,-70.33946,-75.68003,-90.17587,-52.6393
28.2322,25.9434,-43.7892,-58.8954,-54.4703,-46.9935,-50.8082,-61.03161,-76.74815,-87.27671,-78.12144,-57.3695,-38.1434,-52.63928,-71.40758,-81.47837,-46.3832
26.5538,30.9788,-41.0426,-46.9935,-48.2142,-33.5658,-43.0263,-46.23059,-74.00157,-72.17052,-73.69639,-54.0126,-34.6339,-54.16516,-74.45933,-79.18955,-38.7538
15.72,35.2513,-40.7374,-39.3641,-48.3668,-28.0726,-41.9581,-41.50037,-72.78087,-62.4049,-72.93345,-49.5875,-41.653,-61.33678,-76.74815,-84.53013,-36.6176
6.2596,36.6246,-49.4349,-41.1952,-57.5221,-33.7184,-49.7401,-47.90906,-72.62828,-54.77551,-83.15684,-46.9935,-55.9962,-61.48937,-77.51109,-77.51109,-43.484
4.88631,33.4202,-59.8109,-51.7238,-68.2032,-44.5521,-58.5902,-57.21691,-70.64464,-50.50305,-90.32846,-48.9772,-53.2496,-56.30139,-76.90074,-61.03161,-56.454
11.6002,33.2676,-58.4376,-64.236,-70.6446,-51.5712,-58.8954,-60.11608,-61.94714,-46.84095,-84.68271,-47.1461,-37.2279,-49.12976,-72.93345,-46.68836,-65.6092
22.4339,29.9107,-48.9772,-70.4921,-65.6092,-53.2496,-52.7919,-59.35314,-54.77551,-46.07801,-76.90074,-44.8573,-35.702,-40.12708,-70.79723,-41.04261,-64.3885
28.8426,23.9598,-43.3314,-65.7618,-60.4213,-50.9608,-48.2142,-60.57385,-57.3695,-54.77551,-76.74815,-46.9935,-47.4513,-37.99086,-69.57652,-45.46766,-56.9117
25.4857,25.9434,-42.5685,-54.4703,-58.5902,-47.1461,-48.3668,-62.71007,-63.16784,-68.96617,-80.86802,-49.7401,-50.8082,-45.31507,-66.067,-52.33411,-50.9608
20.7554,29.6055,-41.9581,-50.3505,-60.1161,-46.3832,-50.9608,-64.23595,-65.15148,-79.95249,-79.95249,-51.1134,-47.1461,-49.12976,-66.067,-57.52209,-49.7401
23.9598,26.8589,-40.5848,-55.3859,-61.642,-47.6039,-52.3341,-64.38854,-66.67736,-86.056,-73.54381,-50.5031,-39.6693,-52.79187,-65.76183,-65.30407,-52.4867
25.9434,23.502,-39.9745,-59.048,-60.879,-47.9091,-53.2496,-63.32043,-70.18687,-89.56552,-72.78087,-48.2142,-25.1735,-61.48937,-60.72643,-76.44297,-57.0643
19.9925,23.6546,-40.2797,-61.0316,-59.5057,-48.5194,-55.0807,-62.86266,-75.98521,-91.39657,-78.27403,-49.5875,-30.2089,-63.77819,-63.93078,-86.51377,-58.7428
19.2296,29.4529,-41.8055,-62.5575,-59.9635,-49.5875,-56.454,-62.86266,-83.91977,-92.15951,-81.78355,-52.9445,-57.8273,-61.1842,-80.56284,-94.14315,-54.9281
19.9925,34.3357,-45.3151,-57.9799,-61.1842,-50.8082,-57.5221,-64.99889,-90.48105,-93.68539,-87.58188,-57.5221,-78.5792,-77.51109,-97.3475,-109.4019,-50.1979
11.4476,28.8426,-49.2824,-50.0453,-62.4049,-55.0807,-60.2687,-72.3231,-92.76986,-93.22763,-98.5682,-65.4567,-82.2413,-95.97421,-105.7398,-126.1866,-48.8246
5.49666,21.9761,-51.266,-49.7401,-64.5411,-62.4049,-63.7782,-79.49473,-91.54916,-83.46201,-106.3502,-72.3231,-79.7999,-86.056,-109.0968,-121.1512,-50.5031
13.4312,19.6873,-49.8927,-55.2333,-64.0834,-63.1678,-59.8109,-77.05332,-80.10508,-64.99889,-101.4674,-74.0016,-68.8136,-75.22227,-100.7044,-98.26302,-50.0453
21.0606,17.0933,-45.9254,-56.9117,-58.285,-54.7755,-48.0616,-66.67736,-57.3695,-47.14612,-83.91977,-68.8136,-41.9581,-73.69639,-74.76451,-74.45933,-46.8409
17.0933,16.6356,-42.5685,-57.6747,-53.86,-48.672,-41.9581,-59.50573,-44.24695,-39.66932,-70.33946,-59.6583,-26.8519,-57.67468,-52.94446,-51.26599,-47.1461
15.8726,20.7554,-41.3478,-65.1515,-57.0643,-51.8763,-48.0616,-61.1842,-55.99621,-49.58753,-72.17052,-53.4022,-42.5685,-42.72108,-57.67468,-40.58485,-52.0289
20.4503,23.6546,-41.653,-71.8653,-63.3204,-57.3695,-55.9962,-65.91442,-75.22227,-69.57652,-75.68003,-50.0453,-55.2333,-39.36414,-74.00157,-49.8927,-57.0643
17.0933,20.1451,-44.0944,-68.2032,-66.067,-57.3695,-56.6066,-67.13512,-79.49473,-81.63096,-72.78087,-47.2987,-46.5358,-42.87366,-73.84898,-58.5902,-57.2169
14.8045,17.3985,-46.3832,-59.6583,-65.9144,-53.86,-54.0126,-66.67736,-74.30674,-83.15684,-72.62828,-47.6039,-39.8219,-50.19788,-63.77819,-56.91174,-54.3177
23.502,19.5347,-44.3995,-54.4703,-62.0997,-50.8082,-49.1298,-65.45665,-71.86534,-81.78355,-71.86534,-50.8082,-46.078,-45.92542,-68.20323,-58.74279,-52.1815
27.3167,19.8399,-40.1271,-52.4867,-55.691,-46.8409,-40.89,-59.65832,-70.64464,-79.49473,-64.54113,-50.8082,-44.3995,-46.84095,-76.74815,-68.661,-50.3505
23.3494,18.4666,-40.1271,-56.9117,-54.1652,-44.0944,-37.6857,-52.79187,-66.21959,-75.52745,-63.6256,-48.672,-34.3287,-62.86266,-72.17052,-75.83262,-52.1815
23.502,21.3658,-44.3995,-68.5084,-57.3695,-47.4513,-39.8219,-52.33411,-61.48937,-73.54381,-72.01793,-52.4867,-42.2633,-65.91442,-67.89806,-81.47837,-57.9799
24.1124,16.3304,-45.3151,-75.68,-58.1324,-53.4022,-41.5004,-57.3695,-60.72643,-71.86534,-75.37486,-62.0997,-57.5221,-56.60656,-75.22227,-88.49741,-61.0316
19.6873,4.42855,-45.4677,-75.3749,-60.4213,-58.285,-45.7728,-64.08336,-63.77819,-65.60924,-73.23863,-70.1869,-57.3695,-58.89538,-81.78355,-87.12412,-62.5575
